From	To
Q5TA31	ENSG00000168159.15
Q5TA31	ENSG00000285426.4
Q86XF0	ENSG00000178700.9
P52943	ENSG00000182809.11
Q9HCR9	ENSG00000128655.19
Q13107	ENSG00000114316.13
Q9UL33	ENSG00000167515.11
Q8N1M1	ENSG00000127325.19
Q9Y5N5	ENSG00000156239.12
Q8IZ02	ENSG00000171757.17
Q9NZD4	ENSG00000169877.10
Q8N531	ENSG00000182325.11
Q8N531	ENSG00000285442.2
Q8WVK2	ENSG00000124380.11
Q9H1K6	ENSG00000140406.4
Q6UXF7	ENSG00000140839.13
Q7LGA3	ENSG00000153936.18
P46059	ENSG00000088386.17
Q7Z7A4	ENSG00000168297.16
Q86YC2	ENSG00000083093.12
P28566	ENSG00000168830.8
P03971	ENSG00000104899.8
Q8NHJ6	ENSG00000186818.13
Q8NHJ6	ENSG00000275730.4
Q9H3F6	ENSG00000110906.13
Q9HBX8	ENSG00000133067.18
Q9HD45	ENSG00000077147.16
P27707	ENSG00000156136.10
Q5T9A4	ENSG00000160072.20
O75956	ENSG00000167797.8
O43316	ENSG00000106331.19
P41235	ENSG00000101076.20
Q9Y2J0	ENSG00000089169.15
O95810	ENSG00000168497.5
Q6P4F7	ENSG00000198826.11
Q6P4F7	ENSG00000275568.4
Q14116	ENSG00000150782.12
Q9BU02	ENSG00000259431.6
P48745	ENSG00000136999.5
Q01664	ENSG00000090447.12
P22695	ENSG00000140740.11
P49685	ENSG00000154165.5
Q96CW1	ENSG00000161203.14
Q5T0N1	ENSG00000156042.19
Q86TI2	ENSG00000142002.19
Q9BZX2	ENSG00000143179.16
Q9BXC9	ENSG00000125124.14
Q9NUQ3	ENSG00000086712.13
Q9BX84	ENSG00000119121.23
Q9BSK4	ENSG00000141965.5
Q09472	ENSG00000100393.16
Q96DR8	ENSG00000172551.12
Q12791	ENSG00000156113.25
Q13733	ENSG00000132681.17
Q96C86	ENSG00000110063.10
P42566	ENSG00000085832.18
Q8IYE0	ENSG00000135205.15
Q969V3	ENSG00000125912.11
Q9HCM1	ENSG00000174718.12
P09661	ENSG00000131876.18
Q96NL3	ENSG00000153896.19
Q15036	ENSG00000115234.11
Q14562	ENSG00000067596.12
Q92565	ENSG00000136237.20
Q96K58	ENSG00000167394.13
Q14203	ENSG00000204843.13
Q9NRC1	ENSG00000004866.22
P56880	ENSG00000171217.5
Q9UK05	ENSG00000263761.3
Q695T7	ENSG00000174358.16
