pert_id,uniprot_id,inchi_key,assay_value,binding,atc_agonist,atc_inhibitor
BRD-K40302533,Q99835,BBVNTTZIOTWDSV-UHFFFAOYSA-N,5.8,True,,
BRD-K40578143,P30542,GYWXTRVEUURNEW-TVDBPQCTSA-N,4.8950000000000005,True,,
BRD-K40718343,P04626,OONFNUWBHFSNBT-HXUWFJFHSA-N,4.0,True,,
BRD-K40718343,P21860,OONFNUWBHFSNBT-HXUWFJFHSA-N,2.0,True,,
BRD-K40718343,Q15303,OONFNUWBHFSNBT-HXUWFJFHSA-N,2.0,True,,
BRD-K40738845,P30530,VNBRGSXVFBYQNN-UHFFFAOYSA-N,2.733333333333333,True,,
BRD-K40738845,Q04912,VNBRGSXVFBYQNN-UHFFFAOYSA-N,1.8,True,,
BRD-K40738845,Q06418,VNBRGSXVFBYQNN-UHFFFAOYSA-N,4.3,True,,
BRD-K40831222,O14965,JWCSIUVGFCSJCK-LIUKBUMOSA-N,7.1,True,,
BRD-K40887525,P28223,JUQLTPCYUFPYKE-UHFFFAOYSA-N,0.45,True,,
BRD-K40887525,P28335,JUQLTPCYUFPYKE-UHFFFAOYSA-N,1.6277777777777778,True,,
BRD-K40887525,P41595,JUQLTPCYUFPYKE-UHFFFAOYSA-N,2.9525,True,,
BRD-K41160163,Q13255,DWPQODZAOSWNHB-UHFFFAOYSA-N,6.7,True,,
BRD-K41179159,O15379,JIUXQGFMZKHYME-KGENOOAVSA-N,1.4,True,,
BRD-K41179159,Q13547,JIUXQGFMZKHYME-KGENOOAVSA-N,2.3,True,,
BRD-K41179159,Q92769,JIUXQGFMZKHYME-KGENOOAVSA-N,6.9,True,,
BRD-K41337261,P00533,YHUIUSRCUKUUQA-UHFFFAOYSA-N,10.0,True,,
BRD-K41494493,P62508,IISBACLAFKSPIT-UHFFFAOYSA-N,4.91,True,,
BRD-K41564320,O95067,ZKDXRFMOHZVXSG-HNNXBMFYSA-N,6.0,True,,
BRD-K41564320,O96020,ZKDXRFMOHZVXSG-HNNXBMFYSA-N,9.0,True,,
BRD-K41564320,P14635,ZKDXRFMOHZVXSG-HNNXBMFYSA-N,6.0,True,,
BRD-K41564320,P20248,ZKDXRFMOHZVXSG-HNNXBMFYSA-N,6.0,True,,
BRD-K41564320,P24864,ZKDXRFMOHZVXSG-HNNXBMFYSA-N,9.0,True,,
BRD-K41564320,P24941,ZKDXRFMOHZVXSG-HNNXBMFYSA-N,7.0,True,,
BRD-K41564320,P78396,ZKDXRFMOHZVXSG-HNNXBMFYSA-N,6.0,True,,
BRD-K41564320,Q00535,ZKDXRFMOHZVXSG-HNNXBMFYSA-N,6.0,True,,
BRD-K41564320,Q15078,ZKDXRFMOHZVXSG-HNNXBMFYSA-N,6.0,True,,
BRD-K41564320,Q8WWL7,ZKDXRFMOHZVXSG-HNNXBMFYSA-N,6.0,True,,
BRD-K41599323,P01111,DHMTURDWPRKSOA-RUZDIDTESA-N,2.79999995231628,True,False,False
BRD-K41599323,P01116,DHMTURDWPRKSOA-RUZDIDTESA-N,5.19999980926514,True,False,False
BRD-K41895714,P48736,SQWZFLMPDUSYGV-UXBLZVDNSA-N,8.333333333333334,True,,
BRD-K42095107,P43166,ZQSIJRDFPHDXIC-UHFFFAOYSA-N,4.2,True,,
BRD-K42098891,P23975,BWPIARFWQZKAIA-UHFFFAOYSA-N,3.9241176470588233,True,False,True
BRD-K42417338,P35372,IFKLAQQSCNILHL-QHAWAJNXSA-N,3.64,True,True,False
BRD-K42417338,P41145,IFKLAQQSCNILHL-QHAWAJNXSA-N,0.84,True,True,False
BRD-K42728290,P21802,QADPYRIHXKWUSV-UHFFFAOYSA-N,1.28,True,False,True
BRD-K42805893,P40337,DUYJMQONPNNFPI-UHFFFAOYSA-N,2.0,True,False,True
BRD-K42828737,P30530,WINHZLLDWRZWRT-ATVHPVEESA-N,9.0,True,False,True
BRD-K42828737,Q9UEE5,WINHZLLDWRZWRT-ATVHPVEESA-N,9.0,True,False,True
BRD-K43149758,P14618,IKMDFBPHZNJCSN-UHFFFAOYSA-N,0.51,True,,
BRD-K43389698,O76039,OUSFTKFNBAZUKL-UHFFFAOYSA-N,1.7,True,,
BRD-K43389698,Q00537,OUSFTKFNBAZUKL-UHFFFAOYSA-N,9.333333333333334,True,,
BRD-K43457670,O75493,BZKPWHYZMXOIDC-UHFFFAOYSA-N,5.7,True,False,True
BRD-K43568579,P11362,SFLKJNSBBVSPFE-UHFFFAOYSA-N,1.0,True,,
BRD-K43578482,Q05397,FWLMVFUGMHIOAA-UHFFFAOYSA-N,1.3816666666666666,True,,
BRD-K43621685,P09619,DEEOXSOLTLIWMG-UHFFFAOYSA-N,1.0,True,,
BRD-K43621685,P16234,DEEOXSOLTLIWMG-UHFFFAOYSA-N,10.0,True,,
BRD-K43764301,P23219,DKYWVDODHFEZIM-NSHDSACASA-N,1.9,True,False,False
BRD-K43786866,Q99720,YNZFUWZUGRBMHL-UHFFFAOYSA-N,0.2,True,False,True
BRD-K43797669,P11474,TZBJGXHYKVUXJN-UHFFFAOYSA-N,10.0,True,,
BRD-K43806473,P07478,XASIMHXSUQUHLV-UHFFFAOYSA-N,3.5,True,False,True
